from,to
77847,8340
77847,41994
77847,96971
77847,64514
77847,28204
77847,4131
77847,61172
77847,17984
77847,62240
77847,96339
77847,95929
77847,8598
77847,58056
77847,76128
77847,15424
98092,96447
98092,75605
98092,95703
98092,96280
98092,59234
98092,97054
98092,97049
98092,97107
98092,51354
98092,95580
98092,9959
98092,97179
98092,49018
98092,95491
98092,96432
98092,96377
98092,97073
98092,85628
98092,96934
98092,18557
98092,97190
98092,96931
98092,96450
98092,65642
98092,46024
98092,97125
98092,96436
98092,95438
98092,14066
98092,96201
98092,97279
98092,56792
98092,74516
98092,55592
98092,95158
98092,77410
98092,95449
98092,31644
98092,95540
98092,96151
91254,12
91254,3100
13132,154718
13132,16177
13132,4020
13132,14923
13132,15365
13132,12763
111030,45870
58604,91983
58604,125144
58604,121032
58604,88837
58604,121243
58604,19129
58604,120705
58604,123309
58604,105131
58604,1636
58604,281
58604,39351
58604,105186
58604,19636
58604,18269
58604,56995
58604,557
58604,105325
58604,22843
58604,55446
58604,104948
58604,2759
58604,93380
58604,96971
58604,86713
58604,87005
58604,97201
58604,90574
58604,74789
58604,81887
58604,96854
58604,8598
58604,96339
58604,95929
58604,79160
58604,41994
58604,21365
58604,17984
58604,19463
58604,7846
12765,215833
12765,330926
12765,424823
12765,235266
12765,199754
12765,213773
12765,212758
12765,213831
12765,91729
64113,42192
64113,52256
64113,100701
64113,287
64113,9581
64113,134353
64113,52437
64113,96971
64113,107326
64113,28204
64113,106929
64113,46876
64113,4020
146213,125092
1687,47515
1687,108344
1687,96532
1687,73529
1687,3341
1687,111257
1687,108183
1687,6955
1687,11834
1687,58821
1687,8514
1687,112512
1687,22816
1687,16225
1687,2759
1687,281
1687,34173
1687,12100
1687,3134
1687,1043
1687,61381
1687,2164
1687,1736
1687,8132
1687,18832
1687,2942
1687,12
1687,4678
1687,2477
1687,3962
131859,32318
9962,197872
9962,6629
9962,121243
9962,107326
9962,121032
9962,120705
9962,75436
9962,8598
9962,23811
9962,86713
9962,7846
9962,23054
9962,62240
9962,75409
9962,41994
9962,39271
9962,35872
9962,4020
9962,23046
9962,557
9962,9529
9962,12
106820,179578
106820,40606
106820,53676
38549,222
38549,52789
38549,12
30250,88837
30250,75099
30250,61651
30250,49288
30250,18080
30250,12572
30250,8488
30250,13198
30250,12
148959,1231
148959,59645
35120,8144
35120,9582
35120,6171
35120,5071
28935,15779
4515,106317
4515,106252
4515,106397
4515,108344
4515,12
4515,6955
4515,3466
4515,20382
4515,28497
4515,6256
118476,115577
321,112176
321,75436
321,281
321,23265
133954,54878
133954,144303
133954,254165
133954,134065
133954,281
133954,20670
133954,14873
133954,557
133954,14115
133954,75822
133954,15732
133954,8598
133954,95929
133954,54884
133954,96339
133954,74789
133954,178853
133954,107326
133954,162368
133954,154652
133954,52437
133954,121032
133954,237706
133954,257497
133954,269771
133954,79160
133954,65225
133954,42192
133954,182134
133954,190526
133954,42621
133954,100701
133954,137401
133954,162787
133954,11121
133954,167871
133954,66403
133954,24312
133954,52461
133954,208487
9837,8537
59505,174791
59505,167019
59505,195985
59505,178691
59505,178853
59505,179578
59505,177883
59505,152635
59505,154016
59505,162368
59505,100701
59505,105131
59505,135819
59505,164665
59505,107326
59505,161890
59505,163784
59505,140398
59505,166223
59505,138607
59505,164528
59505,13643
59505,163648
59505,64078
59505,52256
59505,141856
59505,154298
59505,80973
59505,152191
59505,5270
59505,154030
59505,154890
59505,154831
59505,105325
59505,149539
59505,150143
59505,66403
59505,64514
59505,120705
59505,121243
30583,56133
82233,61172
27601,40631
27601,38723
27601,21617
27601,7469
27601,29449
27601,19868
27601,7659
27601,28830
27601,5846
27601,25231
27601,3775
27494,30548
27494,9303
27494,5229
87193,61172
15098,5943
24517,28204
24517,11788
24517,17984
24517,24740
24517,3466
24517,20033
24517,4020
92703,63426
9151,5480
9151,4672
9151,1057
9151,12
88788,4131
88788,6755
88788,28497
88788,3100
88788,108344
88788,12
151279,102040
1784,89616
1784,34041
1784,108229
1784,5070
1784,8635
1784,3457
1784,1054
1784,45998
1784,29584
1784,3956
1784,4452
1784,15409
1784,4419
13760,14726
13760,2328
13760,13557
13760,12870
13760,13458
31317,12
2770,50263
2770,95293
2770,12
2770,13922
2770,1276
2770,6848
2770,5199
2770,16113
2770,28068
2770,2592
2770,17951
2770,251
143119,87005
143119,56995
143119,28577
143119,138273
143119,148279
143119,118303
143119,109753
