from,to
4413,451969
4413,263826
4413,424597
4413,445934
4413,443619
4413,410773
4413,441757
4413,310017
4413,437984
4413,435700
4413,432858
4413,433056
4413,281319
4413,226263
4413,193650
4413,430353
4413,429087
4413,177007
4413,344164
4413,235353
4413,325822
4413,49993
4413,427471
4413,337646
4413,8177
4413,410704
4413,424877
4413,425477
4413,424540
9280,144058
9280,182
228421,208325
228421,39057
231118,227273
231118,89772
231118,156553
231118,1054
231118,100701
231118,120705
231118,231211
231118,118944
231118,2313
231118,50223
231118,7846
278871,174331
278871,228957
278871,29328
278871,4020
278871,297292
278871,155597
278871,224898
278871,74700
278871,280542
278871,100701
278871,144058
278871,7213
278871,58119
278871,59953
278871,61172
278871,24312
278871,162729
278871,170917
278871,112460
278871,218777
278871,96971
278871,199537
278871,275722
278871,7846
278871,265131
7388,7846
7388,204962
7388,202582
7388,188396
7388,204959
7388,149690
7388,193705
7388,193734
7388,191960
7388,191948
7388,156614
7388,14652
7388,16219
7388,4063
7388,102259
7388,18080
7388,2348
7388,2633
277467,310017
277467,293047
277467,330280
277467,301856
277467,294599
277467,312111
277467,312071
277467,313886
277467,89177
277467,321555
277467,293602
277467,323783
277467,323767
277467,261317
277467,329629
277467,302983
277467,297556
277467,15011
277467,126
277467,239384
277467,303639
277467,61779
277467,303394
277467,302618
277467,21259
277467,108335
277467,57010
277467,27932
277467,290222
277467,6481
277467,300246
277467,209680
277467,191436
277467,57784
277467,170837
277467,297343
277467,79160
277467,154564
277467,8005
277467,186135
207464,308393
207464,228957
207464,433757
207464,442168
207464,440654
207464,429087
207464,91937
207464,35099
207464,142149
207464,432378
207464,6880
207464,410793
207464,191300
207464,426048
207464,112460
207464,19148
207464,424597
207464,226263
207464,343196
207464,36439
207464,26419
207464,340133
207464,337571
207464,37080
